Identifier,Date of Publication
975705,1893
975963,1896
978060,1822
979058,
979337,1877
979468,1891
980620,
980639,1858
980677,1851
980821,1852
980873,
982141,1866
984159,1862
984858,
984979,1884
985479,1877
985481,1850
985483,1850
985484,1850
985849,1822
987482,1760
987506,1855
987509,1868
987592,1778
988442,1886
990615,1895
990755,1897
990976,1897
990977,
991105,1897
991106,1899
991243,1896
991588,1891
991862,1819
992009,
992037,1894
992043,1882
992327,1897
993086,1837
993087,1834
993113,1884
993200,1893
993525,1888
993796,1807
993807,1898
994020,
994021,
994023,1850
994277,1855
994515,1881
994575,1891
994701,1858
994809,1891
994939,1845
996356,1826
996386,1884
997332,1880
997570,1877
997984,1886
998054,1881
998130,1876
998306,1822
998990,
1000549,1898
1000596,1867
1001024,1838
1001028,1846
1001029,1853
1001030,
1001033,1838
1001327,1861
1001346,1853
1001349,1862
1002770,
1002894,1889
1004065,1868
1004449,1800
1004765,1895
1005203,1864
1005204,1865
1005332,1834
1006232,1896
1006545,1821
1006603,1756
1006811,1880
1006939,1894
1007037,1867
1007865,1860
1007866,1858
1007892,1860
1008369,1845
1008382,1842
1008388,1842
1008945,1886
1009785,1878
1011103,1836
1011723,1884
1012871,1867
1012945,1889
1012996,1883
1013185,1865
1013219,1804
1015009,1834
1017005,1889
1017047,1849
1017048,1846
1019003,1802
1020621,1862
1020626,
1021084,1897
1022934,1892
1023028,1896
1024485,1845
1024664,1844
1024737,1880
1024863,
1025603,1882
1026210,1868
1026337,1867
1027606,
1028138,1858
1028307,
1028565,1892
1030114,1890
1030122,1891
1030130,1868
1030935,1839
1030962,1848
1031638,1865
1032054,1887
1032177,1853
1034414,1872
1034689,1891
1034803,
1034891,1879
1035031,1865
1035091,1891
1035167,1888
1035193,1869
1035423,1896
1035441,1895
1035517,1896
1035572,1895
1035589,1897
1035613,1895
1038089,1857
1038160,1829
1038214,1883
1038225,1894
1038398,1861
1039492,1778
1039585,
1040079,
1040107,1691
1040305,1883
1040619,1869
1041189,1899
1041402,1895
1043207,1814
1043208,1760
1043612,1893
1043613,1863
1043971,1812
1044120,1867
1044976,1885
1045857,1875
1045858,
1046921,1838
1046942,1844
1046957,1824
1047253,1863
1047382,
1050932,1882
1053224,1774
1053225,1780
1053415,1765
1053422,1756
1055280,1861
1055401,
1056108,1863
1056110,1867
1056165,1829
1057901,1896
1057935,1893
1058364,1875
1058577,1835
1059387,
